	affy_hg_u133_plus_2	ensembl_gene_id	gene_biotype	external_gene_name
8340	1559826_a_at	ENSG00000236138	processed_pseudogene	DUX4L26
8400	1559826_a_at	ENSG00000242516	lncRNA	LINC00960
8399	1559827_at	ENSG00000242516	lncRNA	LINC00960
9110	1559828_at	ENSG00000172538	protein_coding	FAM170B
7439	1559833_at	ENSG00000196914	protein_coding	ARHGEF12
8725	1559835_at	ENSG00000238113	lncRNA	LINC01410
8880	1559837_at	ENSG00000257741	lncRNA	LINC01490
7502	1559839_at	ENSG00000219604	processed_pseudogene	AL590143.1
7503	1559839_at	ENSG00000112837	protein_coding	TBX18
7504	1559840_s_at	ENSG00000112837	protein_coding	TBX18
8227	1559848_at	ENSG00000117481	protein_coding	NSUN4
8977	1559849_at	ENSG00000196458	protein_coding	ZNF605
8682	1559856_s_at	ENSG00000118058	protein_coding	KMT2A
9020	1559861_at	ENSG00000231806	lncRNA	PCAT7
5427	1559862_at	ENSG00000202078	misc_RNA	AL513282.1
7282	1559863_a_at	ENSG00000223959	transcribed_unitary_pseudogene	AFG3L1P
5512	1559864_at	ENSG00000278756	miRNA	MIR6722
8388	1559864_at	ENSG00000267206	protein_coding	LCN6
6583	1559865_at	ENSG00000261038	lncRNA	AL133457.1
7120	1559867_at	ENSG00000250041	lncRNA	AC069360.1
7870	1559870_at	ENSG00000255020	lncRNA	AF131216.3
7869	1559871_s_at	ENSG00000255020	lncRNA	AF131216.3
7727	1559877_at	ENSG00000219159	lncRNA	AC011298.1
5406	1559880_at	ENSG00000274467	rRNA_pseudogene	RNA5SP257
8447	1559880_at	ENSG00000253733	lncRNA	LZTS1-AS1
6434	1559881_s_at	ENSG00000164631	protein_coding	ZNF12
7066	1559883_s_at	ENSG00000101347	protein_coding	SAMHD1
5508	1559884_at	ENSG00000277653	misc_RNA	AL354709.2
8719	1559884_at	ENSG00000240498	lncRNA	CDKN2B-AS1
7967	1559889_at	ENSG00000223345	transcribed_unprocessed_pseudogene	H2BP1
8015	1559889_at	ENSG00000213244	unprocessed_pseudogene	H3P4
8157	1559889_at	ENSG00000273213	protein_coding	H3-2
8158	1559889_at	ENSG00000234571	transcribed_unprocessed_pseudogene	H2BP2
6692	1559893_at	ENSG00000152133	protein_coding	GPATCH11
6697	1559901_s_at	ENSG00000215386	lncRNA	MIR99AHG
6866	1559902_at	ENSG00000196588	protein_coding	MRTFA
7637	1559909_a_at	ENSG00000126768	protein_coding	TIMM17B
8070	1559917_a_at	ENSG00000236830	lncRNA	CBR3-AS1
8520	1559920_a_at	ENSG00000185837	lncRNA	HDHD5-AS1
5998	1559924_at	ENSG00000258096	lncRNA	AC025031.2
5997	1559925_s_at	ENSG00000258096	lncRNA	AC025031.2
8215	1559926_at	ENSG00000260830	lncRNA	AL135744.1
8214	1559927_a_at	ENSG00000260830	lncRNA	AL135744.1
6335	1559929_at	ENSG00000236751	lncRNA	LINC01186
8932	1559936_at	ENSG00000260874	lncRNA	AC106820.5
8935	1559936_at	ENSG00000260095	lncRNA	AC106820.3
5981	1559942_at	ENSG00000135272	protein_coding	MDFIC
5450	1559945_at	ENSG00000273898	miRNA	MIR6798
6397	1559945_at	ENSG00000183207	protein_coding	RUVBL2
5451	1559946_s_at	ENSG00000273898	miRNA	MIR6798
6396	1559946_s_at	ENSG00000183207	protein_coding	RUVBL2
6429	1559948_at	ENSG00000251239	lncRNA	AC004590.1
7644	1559950_at	ENSG00000227888	lncRNA	FAM66A
8042	1559950_at	ENSG00000215374	lncRNA	FAM66B
8898	1559950_at	ENSG00000226711	lncRNA	FAM66C
9005	1559950_at	ENSG00000255052	lncRNA	FAM66D
7645	1559952_x_at	ENSG00000227888	lncRNA	FAM66A
8043	1559952_x_at	ENSG00000215374	lncRNA	FAM66B
8899	1559952_x_at	ENSG00000226711	lncRNA	FAM66C
9006	1559952_x_at	ENSG00000255052	lncRNA	FAM66D
5623	1559953_at	ENSG00000198231	protein_coding	DDX42
5622	1559954_s_at	ENSG00000198231	protein_coding	DDX42
7250	1559956_at	ENSG00000011347	protein_coding	SYT7
7555	1559957_a_at	ENSG00000223768	lncRNA	LINC00205
7999	1559965_at	ENSG00000253661	lncRNA	ZFHX4-AS1
8000	1559966_a_at	ENSG00000253661	lncRNA	ZFHX4-AS1
8179	1559970_at	ENSG00000205562	lncRNA	AL049775.1
6133	1559971_at	ENSG00000160058	protein_coding	BSDC1
5970	1559975_at	ENSG00000133639	protein_coding	BTG1
5974	1559975_at	ENSG00000257242	lncRNA	LINC01619
6767	1559976_at	ENSG00000247498	lncRNA	GPRC5D-AS1
8943	1559977_a_at	ENSG00000162461	protein_coding	SLC25A34
8714	1559979_at	ENSG00000117614	protein_coding	SYF2
6083	1559980_at	ENSG00000147789	protein_coding	ZNF7
8917	1559986_at	ENSG00000244968	lncRNA	LIFR-AS1
8776	1559988_at	ENSG00000173258	protein_coding	ZNF483
5635	1559989_at	ENSG00000279198	TEC	AC008894.3
9042	1559992_a_at	ENSG00000258548	lncRNA	LINC00645
6891	1559993_at	ENSG00000106153	protein_coding	CHCHD2
6534	1559996_s_at	ENSG00000167100	protein_coding	SAMD14
5488	1560002_at	ENSG00000275493	protein_coding	AL627230.1
8234	1560002_at	ENSG00000288225	processed_pseudogene	AL591926.9
8235	1560002_at	ENSG00000278054	processed_pseudogene	AL591926.7
7620	1560006_a_at	ENSG00000225264	transcribed_processed_pseudogene	ZNRF2P2
6458	1560010_a_at	ENSG00000225953	lncRNA	SATB2-AS1
9059	1560011_at	ENSG00000234616	protein_coding	JRK
6426	1560012_at	ENSG00000257365	protein_coding	FNTB
7992	1560013_at	ENSG00000275498	protein_coding	PDXDC1
8647	1560013_at	ENSG00000179889	protein_coding	PDXDC1
7991	1560014_s_at	ENSG00000275498	protein_coding	PDXDC1
8646	1560014_s_at	ENSG00000179889	protein_coding	PDXDC1
8989	1560017_at	ENSG00000139324	protein_coding	TMTC3
6293	1560018_at	ENSG00000172995	protein_coding	ARPP21
8168	1560019_at	ENSG00000262001	lncRNA	DLGAP1-AS2
8990	1560020_at	ENSG00000138246	protein_coding	DNAJC13
5528	1560021_at	ENSG00000238650	snoRNA	SNORD54
6320	1560021_at	ENSG00000008988	protein_coding	RPS20
5529	1560023_x_at	ENSG00000238650	snoRNA	SNORD54
6321	1560023_x_at	ENSG00000008988	protein_coding	RPS20
6530	1560024_at	ENSG00000182814	transcribed_processed_pseudogene	FUNDC2P2
5756	1560025_at	ENSG00000274893	lncRNA	AL136317.2
5757	1560025_at	ENSG00000273668	transcribed_processed_pseudogene	AL136317.1
5766	1560025_at	ENSG00000278068	processed_pseudogene	AL136317.3
6580	1560025_at	ENSG00000237383	processed_pseudogene	CNN2P11
6581	1560025_at	ENSG00000213355	processed_pseudogene	CNN2P8
7829	1560025_at	ENSG00000227069	processed_pseudogene	CNN2P2
7846	1560025_at	ENSG00000274157	processed_pseudogene	AL591471.1
8581	1560025_at	ENSG00000213816	processed_pseudogene	CNN2P4
8582	1560025_at	ENSG00000276128	transcribed_processed_pseudogene	AL591441.1
8744	1560025_at	ENSG00000277869	processed_pseudogene	AL773524.1
9163	1560025_at	ENSG00000235832	processed_pseudogene	CNN2P3
5867	1560028_at	ENSG00000150776	protein_coding	NKAPD1
5868	1560029_a_at	ENSG00000150776	protein_coding	NKAPD1
7419	1560030_at	ENSG00000259462	lncRNA	CPEB1-AS1
8069	1560031_at	ENSG00000151474	protein_coding	FRMD4A
8792	1560033_at	ENSG00000131844	protein_coding	MCCC2
8072	1560034_a_at	ENSG00000085265	protein_coding	FCN1
6880	1560035_at	ENSG00000188011	protein_coding	RTP5
7303	1560035_at	ENSG00000277949	protein_coding	RTP5
6461	1560038_at	ENSG00000258525	lncRNA	AL049830.3
6972	1560042_at	ENSG00000115841	protein_coding	RMDN2
5599	1560043_at	ENSG00000159348	protein_coding	CYB5R1
7326	1560051_at	ENSG00000224093	lncRNA	BCAR3-AS1
8472	1560058_at	ENSG00000167995	protein_coding	BEST1
8580	1560058_at	ENSG00000279491	TEC	AP003733.3
7628	1560059_at	ENSG00000167987	protein_coding	VPS37C
7629	1560060_s_at	ENSG00000167987	protein_coding	VPS37C
5700	1560062_at	ENSG00000255468	lncRNA	AP001107.9
6531	1560063_a_at	ENSG00000267892	lncRNA	AC022144.1
9203	1560063_a_at	ENSG00000282869	lncRNA	AC256309.1
6235	1560065_at	ENSG00000120727	protein_coding	PAIP2
8455	1560066_at	ENSG00000251381	lncRNA	LINC00958
7590	1560068_a_at	ENSG00000287642	lncRNA	AC093599.2
9090	1560071_a_at	ENSG00000272345	lncRNA	AL031775.1
6016	1560074_at	ENSG00000154229	protein_coding	PRKCA
8673	1560078_at	ENSG00000053747	protein_coding	LAMA3
6548	1560081_at	ENSG00000245849	lncRNA	RAD51-AS1
7238	1560086_at	ENSG00000184005	protein_coding	ST6GALNAC3
7242	1560086_at	ENSG00000272855	lncRNA	AC104458.1
7237	1560087_a_at	ENSG00000184005	protein_coding	ST6GALNAC3
7241	1560087_a_at	ENSG00000272855	lncRNA	AC104458.1
7816	1560089_at	ENSG00000234771	lncRNA	SLC25A25-AS1
7740	1560091_a_at	ENSG00000056487	protein_coding	PHF21B
8143	1560097_at	ENSG00000142621	protein_coding	FHAD1
5864	1560098_at	ENSG00000151632	protein_coding	AKR1C2
7666	1560099_at	ENSG00000233098	lncRNA	CCDC144NL-AS1
7527	1560100_at	ENSG00000144355	protein_coding	DLX1
5931	1560101_at	ENSG00000097096	protein_coding	SYDE2
6646	1560112_at	ENSG00000139668	protein_coding	WDFY2
5749	1560115_a_at	ENSG00000120549	protein_coding	KIAA1217
7150	1560116_a_at	ENSG00000139350	protein_coding	NEDD1
8159	1560117_at	ENSG00000143994	protein_coding	ABHD1
9170	1560119_at	ENSG00000226091	lncRNA	LINC00937
5499	1560128_x_at	ENSG00000202533	misc_RNA	AC116366.1
7111	1560130_at	ENSG00000162913	lncRNA	OBSCN-AS1
7643	1560133_at	ENSG00000204120	protein_coding	GIGYF2
5834	1560135_at	ENSG00000226149	lncRNA	AL356124.1
5835	1560135_at	ENSG00000233351	lncRNA	AL356124.2
5621	1560136_at	ENSG00000141748	protein_coding	ARL5C
8306	1560138_at	ENSG00000145016	protein_coding	RUBCN
9102	1560141_at	ENSG00000144560	protein_coding	VGLL4
6181	1560142_at	ENSG00000164418	protein_coding	GRIK2
8859	1560145_at	ENSG00000128585	protein_coding	MKLN1
5743	1560147_at	ENSG00000243836	lncRNA	WDR86-AS1
7679	1560148_at	ENSG00000272750	lncRNA	AL592148.3
5415	1560149_at	ENSG00000276918	misc_RNA	AP001107.10
5416	1560151_x_at	ENSG00000276918	misc_RNA	AP001107.10
6917	1560156_at	ENSG00000272917	lncRNA	AC010186.4
6919	1560156_at	ENSG00000256594	transcribed_unprocessed_pseudogene	AC010186.2
6922	1560156_at	ENSG00000284634	lncRNA	AC092821.4
6943	1560156_at	ENSG00000257027	lncRNA	AC010186.3
8311	1560161_at	ENSG00000259732	lncRNA	AC092757.2
6508	1560162_at	ENSG00000285796	lncRNA	AL162458.1
5516	1560163_at	ENSG00000200651	misc_RNA	AC111170.1
6398	1560163_at	ENSG00000279801	TEC	AC111170.4
6177	1560164_at	ENSG00000235535	lncRNA	TRDN-AS1
9119	1560168_at	ENSG00000244227	transcribed_unitary_pseudogene	LRRC77P
9193	1560171_at	ENSG00000146414	protein_coding	SHPRH
8073	1560172_at	ENSG00000104613	protein_coding	INTS10
5646	1560174_at	ENSG00000144451	protein_coding	SPAG16
5725	1560175_at	ENSG00000124224	transcribed_unprocessed_pseudogene	PPP4R1L
5724	1560176_s_at	ENSG00000124224	transcribed_unprocessed_pseudogene	PPP4R1L
6975	1560177_at	ENSG00000180376	protein_coding	CCDC66
6340	1560180_at	ENSG00000158089	protein_coding	GALNT14
8498	1560181_at	ENSG00000267690	lncRNA	LDLRAD4-AS1
7934	1560184_at	ENSG00000166069	protein_coding	TMCO5A
7528	1560187_at	ENSG00000228215	lncRNA	LINC02770
7827	1560198_at	ENSG00000196273	lncRNA	LINC00523
7092	1560199_x_at	ENSG00000250461	processed_pseudogene	AC122718.1
5876	1560201_at	ENSG00000178665	protein_coding	ZNF713
5686	1560202_at	ENSG00000247151	lncRNA	CSTF3-DT
8476	1560204_at	ENSG00000144130	protein_coding	NT5DC4
8684	1560207_at	ENSG00000253327	lncRNA	RAD21-AS1
7402	1560208_at	ENSG00000267577	lncRNA	AC010327.4
7716	1560209_at	ENSG00000247572	lncRNA	CKMT2-AS1
8906	1560213_at	ENSG00000281831	lncRNA	AL645929.2
8296	1560220_a_at	ENSG00000228274	lncRNA	AL021707.2
7182	1560222_at	ENSG00000239407	lncRNA	Z68871.1
7019	1560224_at	ENSG00000153207	protein_coding	AHCTF1
7163	1560224_at	ENSG00000226121	processed_pseudogene	AHCTF1P1
6305	1560227_at	ENSG00000153982	protein_coding	GDPD1
7076	1560228_at	ENSG00000185669	protein_coding	SNAI3
5959	1560238_at	ENSG00000232677	lncRNA	LINC00665
6068	1560238_at	ENSG00000226686	lncRNA	LINC01535
7609	1560240_at	ENSG00000230836	lncRNA	LINC01293
7610	1560240_at	ENSG00000204792	lncRNA	LINC01291
7317	1560241_at	ENSG00000261697	lncRNA	AC010531.4
5972	1560246_at	ENSG00000246214	lncRNA	AC024588.1
7681	1560250_s_at	ENSG00000263823	lncRNA	AC009831.1
8177	1560251_at	ENSG00000246331	lncRNA	AC010198.1
7496	1560253_at	ENSG00000143355	protein_coding	LHX9
6776	1560255_at	ENSG00000181800	lncRNA	CELF2-AS1
7446	1560257_at	ENSG00000259351	lncRNA	AC015914.1
6249	1560258_a_at	ENSG00000269397	lncRNA	AC011503.2
7112	1560260_at	ENSG00000254164	lncRNA	AC008663.3
7114	1560260_at	ENSG00000253955	lncRNA	AC008663.2
8357	1560262_at	ENSG00000236304	lncRNA	AP001189.1
7244	1560263_at	ENSG00000159592	protein_coding	GPBP1L1
8913	1560264_at	ENSG00000085871	protein_coding	MGST2
6183	1560265_at	ENSG00000164418	protein_coding	GRIK2
8883	1560275_at	ENSG00000145014	protein_coding	TMEM44
8364	1560276_at	ENSG00000257137	lncRNA	LINC02874
8365	1560277_a_at	ENSG00000257137	lncRNA	LINC02874
5938	1560278_at	ENSG00000254654	lncRNA	LINC02685
5937	1560279_a_at	ENSG00000254654	lncRNA	LINC02685
8065	1560281_a_at	ENSG00000072818	protein_coding	ACAP1
8084	1560281_a_at	ENSG00000182896	protein_coding	TMEM95
9239	1560281_a_at	ENSG00000288169	protein_coding	ACAP1
9240	1560281_a_at	ENSG00000288511	protein_coding	TMEM95
6574	1560282_at	ENSG00000249106	lncRNA	AC097537.1
8910	1560284_at	ENSG00000259804	lncRNA	AC027682.1
8063	1560285_at	ENSG00000259727	lncRNA	AC103740.2
8064	1560286_s_at	ENSG00000259727	lncRNA	AC103740.2
7489	1560288_at	ENSG00000226747	lncRNA	FSIP2-AS2
8074	1560291_at	ENSG00000147223	protein_coding	RIPPLY1
5754	1560292_a_at	ENSG00000162542	protein_coding	TMCO4
7296	1560296_at	ENSG00000151914	protein_coding	DST
6131	1560297_at	ENSG00000101294	protein_coding	HM13
6154	1560297_at	ENSG00000235313	lncRNA	HM13-IT1
8011	1560298_at	ENSG00000250668	lncRNA	LINC02123
7938	1560300_a_at	ENSG00000184911	protein_coding	DMRTC1B
8058	1560300_a_at	ENSG00000269502	protein_coding	DMRTC1
8871	1560303_at	ENSG00000004478	protein_coding	FKBP4
8870	1560305_x_at	ENSG00000004478	protein_coding	FKBP4
8174	1560306_at	ENSG00000141298	protein_coding	SSH2
8188	1560306_at	ENSG00000265625	lncRNA	AC104564.5
6741	1560316_s_at	ENSG00000106415	protein_coding	GLCCI1
6743	1560316_s_at	ENSG00000283549	lncRNA	AC007161.3
8297	1560317_s_at	ENSG00000127946	protein_coding	HIP1
7890	1560318_at	ENSG00000137962	protein_coding	ARHGAP29
5485	1560320_a_at	ENSG00000200345	snRNA	RNU6-485P
7983	1560320_a_at	ENSG00000205885	lncRNA	C1RL-AS1
9231	1560320_a_at	ENSG00000288352	lncRNA	C1RL-AS1
9233	1560320_a_at	ENSG00000284403	snRNA	RNU6-485P
5797	1560322_at	ENSG00000144642	protein_coding	RBMS3
5982	1560330_at	ENSG00000150275	protein_coding	PCDH15
6739	1560334_at	ENSG00000157890	protein_coding	MEGF11
7725	1560337_at	ENSG00000253734	lncRNA	LINC01289
6540	1560339_s_at	ENSG00000205531	protein_coding	NAP1L4
7852	1560339_s_at	ENSG00000273562	protein_coding	NAP1L4
5794	1560348_at	ENSG00000214944	protein_coding	ARHGEF28
8576	1560352_at	ENSG00000226688	lncRNA	ENTPD1-AS1
8363	1560354_at	ENSG00000260774	lncRNA	AC021087.3
7728	1560359_at	ENSG00000213949	protein_coding	ITGA1
6990	1560371_at	ENSG00000281332	lncRNA	LINC00997
6991	1560371_at	ENSG00000273014	lncRNA	AC018645.3
6078	1560372_at	ENSG00000277007	lncRNA	AC096642.1
6079	1560373_a_at	ENSG00000277007	lncRNA	AC096642.1
9183	1560380_at	ENSG00000233884	lncRNA	AL772337.2
5811	1560383_at	ENSG00000248115	lncRNA	AC023154.1
5812	1560384_a_at	ENSG00000248115	lncRNA	AC023154.1
8418	1560385_x_at	ENSG00000124787	protein_coding	RPP40
5992	1560390_s_at	ENSG00000267581	lncRNA	AC011477.3
5994	1560390_s_at	ENSG00000266904	lncRNA	LINC00663
8988	1560391_at	ENSG00000108474	protein_coding	PIGL
9078	1560396_at	ENSG00000172578	protein_coding	KLHL6
9077	1560397_s_at	ENSG00000172578	protein_coding	KLHL6
9061	1560399_a_at	ENSG00000169918	protein_coding	OTUD7A
7346	1560402_at	ENSG00000270084	lncRNA	GAS5-AS1
8213	1560404_a_at	ENSG00000134146	protein_coding	DPH6
6466	1560407_at	ENSG00000116141	protein_coding	MARK1
5778	1560410_at	ENSG00000264985	lncRNA	AC124804.1
5663	1560412_at	ENSG00000234817	lncRNA	ECI2-DT
6130	1560413_at	ENSG00000235665	lncRNA	LINC00298
5734	1560419_at	ENSG00000247853	lncRNA	AC006064.2
7611	1560422_at	ENSG00000175575	protein_coding	PAAF1
7349	1560425_s_at	ENSG00000225706	lncRNA	PTPRD-AS1
6896	1560426_at	ENSG00000188596	protein_coding	CFAP54
5807	1560430_at	ENSG00000179846	protein_coding	NKPD1
5470	1560432_at	ENSG00000276055	misc_RNA	AC108726.1
7790	1560432_at	ENSG00000239265	lncRNA	CLRN1-AS1
7616	1560433_at	ENSG00000122705	protein_coding	CLTA
7617	1560434_x_at	ENSG00000122705	protein_coding	CLTA
7470	1560439_at	ENSG00000220008	protein_coding	LINGO3
5522	1560443_at	ENSG00000207034	misc_RNA	AP001011.1
6974	1560445_x_at	ENSG00000076928	protein_coding	ARHGEF1
6236	1560446_at	ENSG00000284428	lncRNA	AC092329.4
5639	1560448_at	ENSG00000246334	lncRNA	PRR7-AS1
6875	1560449_at	ENSG00000248318	lncRNA	AC104958.1
8688	1560455_at	ENSG00000284837	lncRNA	AC007846.1
6731	1560456_at	ENSG00000171236	protein_coding	LRG1
6736	1560456_at	ENSG00000214456	protein_coding	PLIN5
6732	1560457_x_at	ENSG00000171236	protein_coding	LRG1
6737	1560457_x_at	ENSG00000214456	protein_coding	PLIN5
7916	1560458_s_at	ENSG00000180881	protein_coding	CAPS2
7996	1560460_at	ENSG00000272870	lncRNA	SAP30-DT
6868	1560464_at	ENSG00000182612	protein_coding	TSPAN10
7500	1560467_at	ENSG00000188582	protein_coding	PAQR9
7018	1560469_at	ENSG00000116833	protein_coding	NR5A2
7658	1560472_at	ENSG00000225269	lncRNA	LINC00705
7608	1560475_at	ENSG00000237380	lncRNA	HOXD-AS2
7735	1560477_a_at	ENSG00000187634	protein_coding	SAMD11
9104	1560482_at	ENSG00000257056	lncRNA	LINC02282
8720	1560485_at	ENSG00000095951	protein_coding	HIVEP1
9069	1560488_at	ENSG00000214402	protein_coding	LCNL1
9071	1560488_at	ENSG00000107317	protein_coding	PTGDS
7997	1560489_at	ENSG00000237685	lncRNA	AL139039.3
9206	1560489_at	ENSG00000284750	lncRNA	AL139039.4
5714	1560491_at	ENSG00000241956	lncRNA	AC109466.1
6725	1560493_a_at	ENSG00000147183	protein_coding	CPXCR1
6724	1560494_a_at	ENSG00000147183	protein_coding	CPXCR1
7806	1560495_at	ENSG00000281731	lncRNA	METTL14-DT
8198	1560496_at	ENSG00000256508	lncRNA	MRGPRF-AS1
5952	1560499_at	ENSG00000246223	lncRNA	LINC01550
7468	1560500_at	ENSG00000280372	TEC	CR382285.2
7844	1560503_a_at	ENSG00000229950	lncRNA	TFAP2A-AS1
7248	1560507_at	ENSG00000204195	protein_coding	AWAT1
8593	1560509_at	ENSG00000177084	protein_coding	POLE
8112	1560510_at	ENSG00000233644	lncRNA	ARHGEF7-IT1
8209	1560511_at	ENSG00000273287	lncRNA	AL008718.2
7284	1560513_at	ENSG00000261863	lncRNA	LINC01996
8840	1560514_at	ENSG00000240423	lncRNA	LINC00636
8471	1560516_at	ENSG00000237233	lncRNA	TMEM26-AS1
6281	1560520_at	ENSG00000105889	protein_coding	STEAP1B
8166	1560522_at	ENSG00000263724	lncRNA	DLGAP1-AS3
8672	1560523_at	ENSG00000232006	lncRNA	AC005537.2
9091	1560524_at	ENSG00000189152	protein_coding	GRAPL
7761	1560527_at	ENSG00000230257	lncRNA	NFE4
6973	1560531_at	ENSG00000196734	protein_coding	LCE1B
8339	1560533_at	ENSG00000230427	lncRNA	ALG14-AS1
6330	1560536_at	ENSG00000263235	lncRNA	AC006111.2
7564	1560537_at	ENSG00000226031	lncRNA	FGF13-AS1
8685	1560538_at	ENSG00000232377	lncRNA	AC016910.2
7342	1560542_at	ENSG00000228137	lncRNA	AP001469.2
7347	1560542_at	ENSG00000215424	lncRNA	MCM3AP-AS1
6222	1560543_at	ENSG00000125388	protein_coding	GRK4
7585	1560547_at	ENSG00000268163	protein_coding	AC004076.1
8628	1560548_at	ENSG00000229175	lncRNA	LINC00382
5907	1560550_at	ENSG00000218357	lncRNA	LINC01644
7808	1560553_at	ENSG00000221995	protein_coding	TIAF1
7110	1560554_a_at	ENSG00000162913	lncRNA	OBSCN-AS1
5999	1560560_at	ENSG00000232628	lncRNA	AC092809.3
7144	1560562_a_at	ENSG00000197928	protein_coding	ZNF677
6503	1560563_at	ENSG00000263063	lncRNA	AC024361.2
5878	1560565_at	ENSG00000249343	lncRNA	LINC01333
6956	1560566_at	ENSG00000279797	lncRNA	LINC02339
5919	1560570_a_at	ENSG00000260331	lncRNA	AC079148.1
9141	1560573_at	ENSG00000256128	lncRNA	LINC00944
6842	1560576_at	ENSG00000267147	lncRNA	LINC01842
7416	1560579_s_at	ENSG00000224167	lncRNA	LINC01357
7432	1560579_s_at	ENSG00000226419	lncRNA	SLC16A1-AS1
6665	1560581_at	ENSG00000258119	lncRNA	AC087897.2
6666	1560582_a_at	ENSG00000258119	lncRNA	AC087897.2
6190	1560587_s_at	ENSG00000173153	protein_coding	ESRRA
6238	1560587_s_at	ENSG00000126432	protein_coding	PRDX5
6661	1560588_at	ENSG00000225794	lncRNA	AC073321.1
5840	1560589_a_at	ENSG00000254438	lncRNA	LINC02683
5719	1560590_s_at	ENSG00000260193	lncRNA	LINC02846
7259	1560595_at	ENSG00000253557	lncRNA	AC100849.1
5711	1560599_a_at	ENSG00000121289	protein_coding	CEP89
5844	1560604_at	ENSG00000258053	lncRNA	AC025575.2
9108	1560609_at	ENSG00000205758	protein_coding	CRYZL1
8152	1560614_at	ENSG00000166171	protein_coding	DPCD
8151	1560615_a_at	ENSG00000166171	protein_coding	DPCD
7549	1560617_at	ENSG00000232623	lncRNA	MRAP-AS1
7377	1560618_at	ENSG00000260256	lncRNA	AP001063.1
7401	1560619_at	ENSG00000257987	protein_coding	TEX49
5902	1560620_at	ENSG00000276223	lncRNA	AL118522.1
6375	1560622_at	ENSG00000134851	protein_coding	TMEM165
7269	1560625_s_at	ENSG00000225062	lncRNA	CATIP-AS1
6312	1560630_at	ENSG00000260519	lncRNA	AC096734.2
6492	1560631_at	ENSG00000136436	protein_coding	CALCOCO2
7135	1560633_a_at	ENSG00000154642	protein_coding	C21orf91
7140	1560633_a_at	ENSG00000240770	lncRNA	C21orf91-OT1
6676	1560634_a_at	ENSG00000237479	lncRNA	AC007557.4
6677	1560634_a_at	ENSG00000236295	lncRNA	AC007557.3
8262	1560636_a_at	ENSG00000279430	TEC	AL590560.4
5842	1560637_at	ENSG00000260955	lncRNA	AC100821.2
5962	1560637_at	ENSG00000120992	protein_coding	LYPLA1
5841	1560638_a_at	ENSG00000260955	lncRNA	AC100821.2
5963	1560638_a_at	ENSG00000120992	protein_coding	LYPLA1
6421	1560642_at	ENSG00000279151	lncRNA	AL021920.1
6420	1560643_x_at	ENSG00000279151	lncRNA	AL021920.1
6829	1560646_at	ENSG00000250878	transcribed_unprocessed_pseudogene	METTL21EP
7174	1560648_s_at	ENSG00000189241	protein_coding	TSPYL1
7630	1560652_at	ENSG00000280322	TEC	AL035425.5
7631	1560652_at	ENSG00000261409	lncRNA	AL035425.4
6358	1560654_at	ENSG00000240996	lncRNA	AL157400.4
6678	1560656_at	ENSG00000223874	lncRNA	LINC01921
6683	1560656_at	ENSG00000227021	lncRNA	AC007557.1
6145	1560657_at	ENSG00000066056	protein_coding	TIE1
9074	1560659_at	ENSG00000232931	lncRNA	LINC00342
9075	1560661_x_at	ENSG00000232931	lncRNA	LINC00342
5741	1560662_s_at	ENSG00000248334	transcribed_unprocessed_pseudogene	WHAMMP2
5928	1560662_s_at	ENSG00000223509	transcribed_processed_pseudogene	AC135983.3
6579	1560662_s_at	ENSG00000215302	transcribed_unprocessed_pseudogene	AC127502.1
8110	1560662_s_at	ENSG00000276141	transcribed_unprocessed_pseudogene	WHAMMP3
6766	1560665_at	ENSG00000121064	protein_coding	SCPEP1
8861	1560673_at	ENSG00000228604	lncRNA	AL121759.1
8876	1560673_at	ENSG00000232712	lncRNA	KIZ-AS1
6172	1560676_at	ENSG00000215475	protein_coding	SIAH3
6754	1560679_at	ENSG00000281162	lncRNA	LINC01127
6894	1560683_at	ENSG00000258590	transcribed_unprocessed_pseudogene	NBEAP1
6895	1560684_x_at	ENSG00000258590	transcribed_unprocessed_pseudogene	NBEAP1
7466	1560686_at	ENSG00000156886	protein_coding	ITGAD
6761	1560689_s_at	ENSG00000105221	protein_coding	AKT2
8794	1560690_at	ENSG00000227143	lncRNA	LINC01153
6347	1560692_at	ENSG00000170419	protein_coding	VSTM2A
6351	1560692_at	ENSG00000224223	lncRNA	VSTM2A-OT1
8610	1560695_at	ENSG00000151576	protein_coding	QTRT2
8609	1560696_x_at	ENSG00000151576	protein_coding	QTRT2
6620	1560697_at	ENSG00000236333	lncRNA	TRHDE-AS1
6619	1560698_a_at	ENSG00000236333	lncRNA	TRHDE-AS1
7523	1560703_at	ENSG00000232859	protein_coding	LYRM9
8444	1560706_at	ENSG00000111859	protein_coding	NEDD9
8764	1560707_at	ENSG00000246379	lncRNA	AC040168.1
6570	1560712_at	ENSG00000185873	protein_coding	TMPRSS11B
5856	1560713_a_at	ENSG00000166897	protein_coding	ELFN2
8275	1560714_at	ENSG00000280561	lncRNA	AL158835.3
8276	1560714_at	ENSG00000224023	lncRNA	EDRF1-DT
5397	1560715_at	ENSG00000206913	snoRNA	AP000577.1
6514	1560715_at	ENSG00000149380	protein_coding	P4HA3
8767	1560716_at	ENSG00000248461	lncRNA	LINC02119
8242	1560717_at	ENSG00000235731	lncRNA	LINC02250
8403	1560720_at	ENSG00000079277	protein_coding	MKNK1
7783	1560723_at	ENSG00000248540	lncRNA	AC010931.1
